task,trial,score,n_pages,n_matched_avg,bm_position,bm_text,bm_color,bm_font,bm_border,bm_size,bm_recall,tree_bleu,visual_ssim
news_portal__editorial_dark-001,news_portal__editorial_dark-001__rYNykhf,0.5365422699819088,6.0,46.0,0.28941518179682973,0.8510556670790477,0.8347692685061449,0.755407775555094,0.9758414545147094,0.5666896640886439,0.4063084313187622,0.2849708115183861,0.32516696807327256
news_portal__editorial_dark-001,news_portal__editorial_dark-001__tK4Ctm3,0.5455865563446184,6.0,52.0,0.3438888868380876,0.8010081376725348,0.8222724890211305,0.6774855282497327,0.9839710215379859,0.6523076946469565,0.4864626644015218,0.3063635418616492,0.31080072751779836
news_portal__editorial_dark-001,news_portal__editorial_dark-001__tMVPekF,0.6562434433385211,6.0,129.16666666666666,0.42588882659002897,0.9350738632590193,0.8485859099236386,0.8445034013422399,0.9915164887411513,0.6981933952802738,0.8533773585621378,0.4194753868905903,0.3339619896594199
portfolio_neobrut-001,portfolio_neobrut-001__3Vkv6rW,0.7055074219401365,6.0,109.33333333333333,0.6274765107362398,0.9734864285488517,0.9188785697511547,0.8803070344869671,0.9656074466650203,0.7305330336609254,0.9121002899148102,0.45697120546191755,0.20763519463283586
portfolio_neobrut-001,portfolio_neobrut-001__6MKsvgz,0.47178040821660283,6.0,46.333333333333336,0.16073158295132414,0.8319415554579708,0.6011193855179365,0.727533812007059,0.9449230125003245,0.4581402130160881,0.7131031656920528,0.2000330949634355,0.20085129361997722
portfolio_neobrut-001,portfolio_neobrut-001__CyN9vxK,0.4882177438125261,6.0,48.0,0.1672871700832865,0.8166839038615797,0.6157849285091083,0.7488151354392075,0.9322983669288017,0.4664108419233182,0.6886469997054202,0.2757616822245305,0.20254528235534006
portfolio_neobrut-001,portfolio_neobrut-001__Prg5rrg,0.48638277920418543,6.0,51.5,0.167430948010729,0.8338519427708203,0.6750236331017533,0.6925652215617332,0.933688887084322,0.4502223583535019,0.6700129563308516,0.2617126235547288,0.188334929881356
portfolio_neobrut-001,portfolio_neobrut-001__QDwvhuZ,0.6223010729131421,6.0,132.33333333333334,0.3052842779180502,0.9403670571179608,0.8010774771190822,0.7164377994701351,0.962166804382942,0.6146404322658773,0.9584870494915697,0.48421543545382556,0.1913417012639962
portfolio_neobrut-001,portfolio_neobrut-001__VG6XcKA,0.6059201892322424,6.0,129.33333333333334,0.15835820050791027,0.9395937006772573,0.8580969268533742,0.7341256410648075,0.9592100542266114,0.6332318102090432,0.9360950051589474,0.46050315787157886,0.20747760641849958
portfolio_neobrut-001,portfolio_neobrut-001__d79XFC9,0.6219189999862591,6.0,138.83333333333334,0.18195818371947883,0.9552689550664083,0.8387133293439799,0.822914221176963,0.979020210732017,0.6418451584989608,0.956095921852306,0.47224815611038523,0.19897463533546558
portfolio_neobrut-001,portfolio_neobrut-001__jpUgHGi,0.6863886658137436,6.0,109.0,0.6388895203851362,0.9769800283086681,0.9085184877036606,0.8107736831070826,0.9711964601100463,0.6207391922562809,0.9115716992957448,0.40818979127802657,0.2311018265535274
portfolio_neobrut-001,portfolio_neobrut-001__nrwTaUn,0.6658326049694634,6.0,113.16666666666667,0.3114930509836868,0.9754594751834879,0.9369587122068476,0.791089309672011,0.9710635542438432,0.6888444219014364,0.9181250784518933,0.5325112549183757,0.20599804369204888
portfolio_neobrut-001,portfolio_neobrut-001__x6rytht,0.49708959612967835,6.0,49.833333333333336,0.18598135088654458,0.84038125158457,0.5861866158423944,0.7194171061005948,0.9494470523033889,0.5748524709626803,0.657231889188476,0.3338067437525642,0.16585051519157074
pricing_dark-001,pricing_dark-001__3Qz7Bvz,0.6587185831592263,6.0,83.0,0.42447457421918716,0.9406830327202037,0.8340202411925004,0.7623171423189171,0.986942783964108,0.6435206861816657,0.6989820420199057,0.464950644613971,0.5523283671148754
pricing_dark-001,pricing_dark-001__3kDmu8M,0.661133295015453,6.0,89.5,0.3893313301180254,0.9344893012543185,0.8861297647992646,0.7365565510962279,0.9832371016073173,0.6566719720044635,0.7350348864839921,0.438180433414834,0.595745165308498
pricing_dark-001,pricing_dark-001__4LQ2TuT,0.6644332896766466,6.0,91.0,0.5309395558791008,0.9363132958273369,0.882524307901346,0.7901195215604787,0.9793004090067597,0.5939006435972217,0.7289272680697129,0.34235835226100947,0.5974597848142579
pricing_dark-001,pricing_dark-001__BSctqdS,0.6583504191266428,6.0,87.5,0.3450514812094639,0.9376845896854314,0.9173457434743503,0.7842406960214205,0.9751665465591399,0.6791319106709254,0.7348549576515929,0.4162218177976585,0.5735352466719118
pricing_dark-001,pricing_dark-001__XZcUh8R,0.6741965087319451,6.0,83.0,0.48624074349295626,0.929601164620498,0.916329364449783,0.7821231242468056,0.9873034740333719,0.6494572636033289,0.6657910969100856,0.4330721558719634,0.576069859065675
pricing_dark-001,pricing_dark-001__e2LtoP7,0.6899239156876799,6.0,91.83333333333333,0.4622323541497326,0.93423994693269,0.8778447074957884,0.7884442419421619,0.987267224617399,0.6805050015530497,0.7556372755714009,0.49550145015684377,0.5859130865633531
pricing_dark-001,pricing_dark-001__fgwLs2z,0.6848762448514422,6.0,87.83333333333333,0.3640697133721917,0.9334375340034665,0.922915329221238,0.9250710054456245,0.981824365356502,0.6860945727529697,0.6945043432202428,0.47563434551137895,0.5800438418774484
pricing_dark-001,pricing_dark-001__mxL3sbT,0.6391883893202356,6.0,89.33333333333333,0.49908924263085447,0.9369922150967925,0.8810365586781809,0.7556288779990025,0.984845610771626,0.5650071397270459,0.6990005629828323,0.2861782011989458,0.5827907575129482
pricing_dark-001,pricing_dark-001__tYCAcfE,0.6873962596955581,6.0,87.83333333333333,0.44184858984171194,0.9366674541782142,0.9230168038625667,0.9342106990124539,0.9886818282499995,0.6880874703642018,0.7209066828346092,0.40618863709657255,0.5841177468736383
product_splash__crypto_neon-001,product_splash__crypto_neon-001__JS33TJg,0.5935815533702615,6.0,49.0,0.29789318555797584,0.875359246378114,0.8772498392655957,0.8468235721870078,0.9714280008142681,0.6215262369149162,0.5595833776718809,0.324856525170444,0.4451446310247749
product_splash__crypto_neon-001,product_splash__crypto_neon-001__JpZUTwb,0.7096408582729006,6.0,129.66666666666666,0.4791606787464869,0.9823151979559847,0.8793394718170763,0.8538363166161692,0.9873047677504384,0.7093139849208666,0.8834823583598076,0.5087951116120707,0.47312488439190603
product_splash__crypto_neon-001,product_splash__crypto_neon-001__QFbz4ar,0.6683891850716717,6.0,105.33333333333333,0.3022514377624347,0.9575196327210785,0.8579564255666646,0.8848725152720932,0.9819102527971891,0.6846005720156042,0.8287674361583658,0.4883873119108531,0.4623904353434282
product_splash__crypto_neon-001,product_splash__crypto_neon-001__YTxzfsh,0.6479491154261664,6.0,106.83333333333333,0.3369383309134091,0.9506556963212113,0.8435925230045251,0.7507610890038681,0.9843549588885411,0.6715885938755474,0.8132161151741276,0.44022285801054933,0.4856444804824139
product_splash__crypto_neon-001,product_splash__crypto_neon-001__bbY3T2v,0.6559162344322039,6.0,97.5,0.30886649598276145,0.9570017192549473,0.8674394281062257,0.9211526891976739,0.9677664023928392,0.6601208162877077,0.8000548992965698,0.42252387307850325,0.4575027949420865
product_splash__crypto_neon-001,product_splash__crypto_neon-001__myZUtwC,0.5735506099139404,6.0,50.166666666666664,0.2958059233255673,0.8769494382159125,0.8841845872320184,0.861918649759279,0.9813084955838578,0.5643120954827918,0.5475606299462338,0.23472639839171652,0.43682852306484254
product_splash__crypto_neon-001,product_splash__crypto_neon-001__nDEMxZM,0.6616800095941255,6.0,97.16666666666667,0.3540339656916087,0.9588316623171197,0.8129182466018833,0.9123212964482375,0.9814387978620096,0.6778278778652465,0.8042707854996456,0.4444274949869614,0.472459705398464
product_splash__crypto_neon-001,product_splash__crypto_neon-001__uCCb7BS,0.6004261179660281,6.0,45.666666666666664,0.28019172913923757,0.8842162818206357,0.8715450146069411,0.8561334232457597,0.9768877349994373,0.6007021665989479,0.5448623631758213,0.37149074243047603,0.4596675601386521
product_splash__crypto_neon-001,product_splash__crypto_neon-001__wZ5uq99,0.5774826440355857,6.0,48.0,0.23779344450597206,0.8814300177961759,0.8356721634357837,0.8600933753892087,0.9828342749529191,0.5874824012958767,0.5557243993175965,0.32944586359451655,0.4233301706268109
saas_minimal-001,saas_minimal-001__4wXkYUm,0.6233792496497,6.0,79.16666666666667,0.28793528283911907,0.9209102086869928,0.7459299419312932,0.94272167305246,0.9790951577574493,0.7430562659770944,0.6172509873846924,0.3989432476920072,0.5431495829659512
saas_minimal-001,saas_minimal-001__8svLxQ8,0.6650207393250872,6.0,78.33333333333333,0.4620344296822146,0.9210376648142526,0.8426814023536068,0.9309700262300447,0.9912570446031408,0.773379484854326,0.6215445452857784,0.3803919148339285,0.5764793144704736
saas_minimal-001,saas_minimal-001__BKWucG3,0.6128480182951598,6.0,83.66666666666667,0.3651643146257362,0.9142213867958523,0.8942350929345299,0.7906182229102835,0.9747311469464374,0.6356381521298305,0.633369898138152,0.27326296030207686,0.5494609936246232
saas_minimal-001,saas_minimal-001__Fkc9r6q,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
saas_minimal-001,saas_minimal-001__YQpVzVh,0.7946078548562374,6.0,132.33333333333334,0.7698892991016036,0.9943686890133897,0.8859013618981059,0.9605330012767385,0.9663017679544783,0.8348946306946662,0.9374184946844846,0.5565830130977404,0.5563081465681449
saas_minimal-001,saas_minimal-001__jBuACZz,0.6434444170081798,6.0,78.66666666666667,0.3030227320943572,0.9113029901531862,0.8025909743549051,0.9250750503749274,0.9702673360665947,0.7677092500355883,0.6386087161980883,0.4611574672175398,0.5097336261955325
saas_minimal-001,saas_minimal-001__ktNkGvW,0.7710745888049465,6.0,130.0,0.7976351468587071,0.9962586371190532,0.8528683962865928,0.9438062270710764,0.9676878653055372,0.720356195505302,0.9307575853690785,0.46728318334920443,0.5855797266684781
saas_minimal-001,saas_minimal-001__mVzMgPi,0.6585579789137368,6.0,73.16666666666667,0.44961301754938043,0.9078870856314268,0.7883558923106219,0.9415178269458381,0.9660364212116535,0.7407813243847524,0.635846086621747,0.41867962817420573,0.5526072960017377
